Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho€,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total
1989,Paul's Boutique,Beastie Boys,high plains drifter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Paul's Boutique,Beastie Boys,sounds of science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Paul's Boutique,Beastie Boys,hey ladies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,do as de la does,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1989,3 Feet High and Rising,De La Soul,ghetto thank,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1989,3 Feet High and Rising,De La Soul,a little bit ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1989,3 Feet High and Rising,De La Soul,cool breeze on the rocks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1989,3 Feet High and Rising,De La Soul,Intro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,The magic number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,change in speak ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,can u keep a secret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,jenifa taught me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,thransmiting live from mars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,eye know ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,take it off ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,tread water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,potholes in my lawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,say no go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,plug tunin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,de la orgee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,buddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,me myself and i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,this is a recording for living in a fulltime era,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
