,Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total,City,State
90,1987,BAD Bigger and Deff,LL Cool J,my rhyme ain't done,0,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Bay Shore,New York
91,1987,BAD Bigger and Deff,LL Cool J,I'm bad,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Bay Shore,New York
92,1987,BAD Bigger and Deff,LL Cool J,.357 break it on down,0,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0.0,1,Bay Shore,New York
93,1987,BAD Bigger and Deff,LL Cool J,kanday,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
94,1987,BAD Bigger and Deff,LL Cool J,the bristol hotel,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
95,1987,BAD Bigger and Deff,LL Cool J,go cut creator go,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
96,1987,BAD Bigger and Deff,LL Cool J,I need love,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
97,1987,BAD Bigger and Deff,LL Cool J,ahh. Let's get ill ,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
98,1987,BAD Bigger and Deff,LL Cool J,the do wop ,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Bay Shore,New York
99,1987,NWA & The Posse,NWA,A Bitch iz a Bitch,16,4.0,34,0.0,1.0,5,0,0.0,0,1,0,0,0,6.0,67,Los Angeles,California
100,1987,NWA & The Posse,NWA,Dopeman,13,5.0,9,1.0,3.0,6,5,0.0,0,0,0,0,0,4.0,46,Los Angeles,California
101,1987,NWA & The Posse,NWA,8 Ball,9,4.0,4,0.0,2.0,3,2,0.0,0,1,0,0,0,4.0,29,Los Angeles,California
102,1987,NWA & The Posse,NWA,Tuffest Man Alive,7,6.0,2,0.0,2.0,2,0,0.0,0,1,0,0,0,2.0,22,Los Angeles,California
103,1987,NWA & The Posse,NWA,3 The Hard Way,2,5.0,6,0.0,0.0,0,0,0.0,0,0,0,0,0,3.0,16,Los Angeles,California
104,1987,NWA & The Posse,NWA,Boys-N-The Hood,0,6.0,3,0.0,1.0,0,0,0.0,0,0,0,0,0,1.0,11,Los Angeles,California
105,1987,NWA & The Posse,NWA,Drink it Up,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
106,1987,NWA & The Posse,NWA,Panic Zone,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
107,1987,NWA & The Posse,NWA,LA Is The Place,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
108,1987,NWA & The Posse,NWA,Fat Girl,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
109,1987,Yo! Bum Rush The,Public Enemy,Sophisticated Bitch,1,0.0,6,0.0,0.0,0,0,0.0,0,1,0,0,0,2.0,10,Long Island,New York
110,1987,Yo! Bum Rush The,Public Enemy,Yo! Bumrush the show,1,0.0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,3.0,6,Long Island,New York
111,1987,Yo! Bum Rush The,Public Enemy,too much posse,1,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,2.0,4,Long Island,New York
112,1987,Yo! Bum Rush The,Public Enemy,raise the roof,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Long Island,New York
113,1987,Yo! Bum Rush The,Public Enemy,righstarter,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,1,Long Island,New York
114,1987,Yo! Bum Rush The,Public Enemy,megablast,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,1,Long Island,New York
115,1987,Yo! Bum Rush The,Public Enemy,You're gonna get yours,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
116,1987,Yo! Bum Rush The,Public Enemy,Miuzi Weighs a ton,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
117,1987,Yo! Bum Rush The,Public Enemy,timebomb,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
118,1987,Yo! Bum Rush The,Public Enemy,publick enemey no 1,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
119,1987,Yo! Bum Rush The,Public Enemy,MPE,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
120,1987,Yo! Bum Rush The,Public Enemy,terminator x speaks with his hands,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
121,1988,By All Means Necessary,Boogie Down,Ya Slippin,3,2.0,0,0.0,0.0,0,1,0.0,0,1,0,0,0,2.0,9,The Bronx,New York
122,1988,By All Means Necessary,Boogie Down,Jimmy,0,0.0,0,0.0,2.0,0,0,0.0,0,0,0,0,0,0.0,2,The Bronx,New York
123,1988,By All Means Necessary,Boogie Down,T'Cha,0,0.0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,1,The Bronx,New York
124,1988,By All Means Necessary,Boogie Down,My Philosophy,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
125,1988,By All Means Necessary,Boogie Down,Stop the violence,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
126,1988,By All Means Necessary,Boogie Down,Illegal Business,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
127,1988,By All Means Necessary,Boogie Down,Nervous Lyrics,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
128,1988,By All Means Necessary,Boogie Down,I'm Still #1,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
129,1988,By All Means Necessary,Boogie Down,Part Time Sucker,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
130,1988,By All Means Necessary,Boogie Down,Necessary,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
131,1988,Eazy-Duz-It,Eazy-E,2 Hard Mutha's,40,11.0,4,1.0,0.0,7,1,0.0,0,2,0,0,0,2.0,68,Compton,California
132,1988,Eazy-Duz-It,Eazy-E,Still Talkin',16,9.0,10,4.0,5.0,4,5,0.0,0,1,0,0,0,1.0,55,Compton,California
133,1988,Eazy-Duz-It,Eazy-E,Nobody Move,15,1.0,7,1.0,1.0,4,2,0.0,1,0,0,1,0,7.0,40,Compton,California
134,1988,Eazy-Duz-It,Eazy-E,Ruthless Villain,14,13.0,1,0.0,1.0,5,0,0.0,0,0,0,0,0,2.0,36,Compton,California
135,1988,Eazy-Duz-It,Eazy-E,Boyz-N-The-Hood,2,12.0,5,0.0,3.0,1,0,0.0,0,0,0,0,0,2.0,25,Compton,California
136,1988,Eazy-Duz-It,Eazy-E,Eazy-Duz-It,0,5.0,10,0.0,1.0,4,0,0.0,0,0,0,0,0,3.0,23,Compton,California
137,1988,Eazy-Duz-It,Eazy-E,Eazy-Chapter 8 Verse 10 (B.U.L.L.S.H.I.T.),4,1.0,0,0.0,0.0,3,0,0.0,0,0,0,0,0,0.0,8,Compton,California
138,1988,Eazy-Duz-It,Eazy-E,No More ?'s,0,0.0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Compton,California
139,1988,Eazy-Duz-It,Eazy-E,I'mma Break it Down,0,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Compton,California
140,1988,Eazy-Duz-It,Eazy-E,We Want Eazy,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Compton,California
141,1988,Eazy-Duz-It,Eazy-E,Eazy-Er Said Then Dunn,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Compton,California
142,1988,Eazy-Duz-It,Eazy-E,Radio,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Compton,California
143,1988,Strait Outta Compton,NWA,fuck the police,41,10.0,0,0.0,0.0,10,0,0.0,1,3,0,0,0,11.0,76,Los Angeles,California
144,1988,Strait Outta Compton,NWA,gangsta gangsta,29,4.0,6,1.0,0.0,14,0,0.0,0,0,0,0,0,7.0,61,Los Angeles,California
145,1988,Strait Outta Compton,NWA,comptons n the house,30,10.0,0,0.0,0.0,3,0,0.0,0,0,0,0,0,4.0,47,Los Angeles,California
